--- Startup times for process: Primary (or UI client) ---

times in msec
 clock   self+sourced   self:  sourced script
 clock   elapsed:              other lines
040.632  000.028  000.028: require('cmp.config.compare')
040.633  000.053  000.025: require('cmp.config.default')
040.643  000.137  000.039: require('cmp.config')
040.650  000.173  000.036: require('cmp.utils.async')
040.688  000.016  000.016: require('cmp.utils.pattern')
040.690  000.039  000.023: require('cmp.context')
040.854  000.066  000.066: require('cmp.utils.snippet')
040.879  000.024  000.024: require('cmp.matcher')
040.884  000.152  000.062: require('cmp.entry')
040.888  000.198  000.046: require('cmp.source')
040.978  000.018  000.018: require('cmp.utils.event')
041.047  000.016  000.016: require('cmp.utils.options')
041.049  000.048  000.032: require('cmp.utils.window')
041.050  000.071  000.023: require('cmp.view.docs_view')
041.122  000.071  000.071: require('cmp.view.custom_entries_view')
041.180  000.058  000.058: require('cmp.view.wildmenu_entries_view')
041.232  000.051  000.051: require('cmp.view.native_entries_view')
041.282  000.049  000.049: require('cmp.view.ghost_text_view')
041.290  000.402  000.083: require('cmp.view')
042.185  001.897  000.944: require('cmp.core')
042.304  000.038  000.038: require('cmp.config.sources')
042.335  000.030  000.030: require('cmp.config.window')
042.369  002.126  000.163: require('cmp')
042.501  002.275  000.149: sourcing /home/tommy/.local/share/nvim/lazy/cmp-cmdline/after/plugin/cmp_cmdline.lua
042.506  002.292  000.017: sourcing nvim_exec2() called at /home/tommy/.config/nvim/init.lua:0
042.813  000.039  000.039: require('cmp_buffer.timer')
042.817  000.120  000.080: require('cmp_buffer.buffer')
042.819  000.170  000.050: require('cmp_buffer.source')
042.821  000.194  000.024: require('cmp_buffer')
042.844  000.242  000.048: sourcing /home/tommy/.local/share/nvim/lazy/cmp-buffer/after/plugin/cmp_buffer.lua
042.846  000.260  000.017: sourcing nvim_exec2() called at /home/tommy/.config/nvim/init.lua:0
042.982  000.066  000.066: require('cmp_path')
043.000  000.106  000.040: sourcing /home/tommy/.local/share/nvim/lazy/cmp-path/after/plugin/cmp_path.lua
043.002  000.121  000.016: sourcing nvim_exec2() called at /home/tommy/.config/nvim/init.lua:0
043.112  000.051  000.051: require('cmp_luasnip')
043.135  000.098  000.046: sourcing /home/tommy/.local/share/nvim/lazy/cmp_luasnip/after/plugin/cmp_luasnip.lua
043.137  000.113  000.015: sourcing nvim_exec2() called at /home/tommy/.config/nvim/init.lua:0
043.274  000.044  000.044: require('cmp_nvim_lsp.source')
043.276  000.082  000.038: require('cmp_nvim_lsp')
043.299  000.122  000.041: sourcing /home/tommy/.local/share/nvim/lazy/cmp-nvim-lsp/after/plugin/cmp_nvim_lsp.lua
043.300  000.136  000.014: sourcing nvim_exec2() called at /home/tommy/.config/nvim/init.lua:0
043.825  000.058  000.058: require('kanagawa')
043.866  000.039  000.039: require('kanagawa.utils')
043.923  000.052  000.052: require('kanagawa.colors')
044.132  000.070  000.070: require('kanagawa.lib.hsluv')
044.137  000.119  000.048: require('kanagawa.lib.color')
044.138  000.178  000.059: require('kanagawa.themes')
044.265  000.051  000.051: require('kanagawa.highlights')
044.334  000.067  000.067: require('kanagawa.highlights.editor')
044.431  000.038  000.038: require('kanagawa.highlights.syntax')
044.488  000.036  000.036: require('kanagawa.highlights.treesitter')
044.539  000.031  000.031: require('kanagawa.highlights.lsp')
044.674  000.125  000.125: require('kanagawa.highlights.plugins')
045.271  001.510  000.835: sourcing /home/tommy/.local/share/nvim/lazy/kanagawa.nvim/colors/kanagawa.vim
045.382  002.050  000.540: sourcing nvim_exec2() called at /home/tommy/.config/nvim/init.lua:0
045.715  000.089  000.089: require('nvim-tree.log')
045.905  000.050  000.050: require('nvim-tree.notify')
045.911  000.119  000.069: require('nvim-tree.events')
045.999  000.086  000.086: require('nvim-tree.utils')
046.011  000.294  000.089: require('nvim-tree.view')
046.144  000.032  000.032: require('nvim-tree.core')
046.234  000.047  000.047: require('nvim-tree.git.utils')
046.260  000.025  000.025: require('nvim-tree.renderer.components.devicons')
046.322  000.032  000.032: require('nvim-tree.classic')
046.326  000.065  000.033: require('nvim-tree.node')
046.331  000.186  000.048: require('nvim-tree.node.directory')
046.362  000.030  000.030: require('nvim-tree.iterators.node-iterator')
046.363  000.280  000.032: require('nvim-tree.actions.finders.find-file')
