--- Startup times for process: Primary (or UI client) ---

times in msec
 clock   self+sourced   self:  sourced script
 clock   elapsed:              other lines
038.966  000.030  000.030: sourcing /snap/nvim/4302/usr/share/nvim/runtime/plugin/editorconfig.lua
038.968  000.042  000.012: sourcing nvim_exec2() called at /home/tommy/.config/nvim/init.lua:0
039.073  000.094  000.094: sourcing /snap/nvim/4302/usr/share/nvim/runtime/plugin/gzip.vim
039.075  000.104  000.010: sourcing nvim_exec2() called at /home/tommy/.config/nvim/init.lua:0
039.127  000.039  000.039: sourcing /snap/nvim/4302/usr/share/nvim/runtime/plugin/man.lua
039.128  000.050  000.011: sourcing nvim_exec2() called at /home/tommy/.config/nvim/init.lua:0
039.452  000.102  000.102: sourcing /snap/nvim/4302/usr/share/nvim/runtime/pack/dist/opt/matchit/plugin/matchit.vim
039.460  000.320  000.218: sourcing /snap/nvim/4302/usr/share/nvim/runtime/plugin/matchit.vim
039.461  000.331  000.011: sourcing nvim_exec2() called at /home/tommy/.config/nvim/init.lua:0
039.548  000.074  000.074: sourcing /snap/nvim/4302/usr/share/nvim/runtime/plugin/matchparen.vim
039.549  000.084  000.010: sourcing nvim_exec2() called at /home/tommy/.config/nvim/init.lua:0
039.898  000.138  000.138: sourcing /snap/nvim/4302/usr/share/nvim/runtime/pack/dist/opt/netrw/plugin/netrwPlugin.vim
039.907  000.346  000.208: sourcing /snap/nvim/4302/usr/share/nvim/runtime/plugin/netrwPlugin.vim
039.908  000.356  000.010: sourcing nvim_exec2() called at /home/tommy/.config/nvim/init.lua:0
039.952  000.027  000.027: sourcing /snap/nvim/4302/usr/share/nvim/runtime/plugin/osc52.lua
039.953  000.043  000.016: sourcing nvim_exec2() called at /home/tommy/.config/nvim/init.lua:0
040.042  000.075  000.075: sourcing /snap/nvim/4302/usr/share/nvim/runtime/plugin/rplugin.vim
040.043  000.087  000.012: sourcing nvim_exec2() called at /home/tommy/.config/nvim/init.lua:0
040.084  000.026  000.026: sourcing /snap/nvim/4302/usr/share/nvim/runtime/plugin/shada.vim
040.085  000.039  000.013: sourcing nvim_exec2() called at /home/tommy/.config/nvim/init.lua:0
040.107  000.007  000.007: sourcing /snap/nvim/4302/usr/share/nvim/runtime/plugin/spellfile.vim
040.108  000.021  000.014: sourcing nvim_exec2() called at /home/tommy/.config/nvim/init.lua:0
040.165  000.044  000.044: sourcing /snap/nvim/4302/usr/share/nvim/runtime/plugin/tarPlugin.vim
040.166  000.056  000.011: sourcing nvim_exec2() called at /home/tommy/.config/nvim/init.lua:0
040.203  000.021  000.021: sourcing /snap/nvim/4302/usr/share/nvim/runtime/plugin/tohtml.lua
040.204  000.036  000.016: sourcing nvim_exec2() called at /home/tommy/.config/nvim/init.lua:0
040.225  000.010  000.010: sourcing /snap/nvim/4302/usr/share/nvim/runtime/plugin/tutor.vim
040.227  000.021  000.011: sourcing nvim_exec2() called at /home/tommy/.config/nvim/init.lua:0
040.306  000.063  000.063: sourcing /snap/nvim/4302/usr/share/nvim/runtime/plugin/zipPlugin.vim
040.307  000.078  000.015: sourcing nvim_exec2() called at /home/tommy/.config/nvim/init.lua:0
040.789  000.084  000.084: require('ibl.utils')
